Project Number,Project Name,Supplier Name,Purchasing Contract Record Series,Award Date,Termination Date,Estimated Project Completion,Project Completion
15.42004-DC,Lexington Street Storm Drain,Harber Company,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/26/2016,,
15.42004-DC,Lexington Street Storm Drain,Harber Company,BID FILES,,04/26/2016,,
15.52607-TF,Pedestrian Safety Upgrades Package 1A,MC4 LLC,BID FILES,,04/28/2016,,07/30/2016
15.46348-JH,Downtown Dual Arm Streetlight Conversion,MC4 Construction,BID FILES,,04/28/2016,,
15.46348-JH,Downtown Dual Arm Streetlight Conversion,MC4 Construction,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/28/2016,,
15.49880-TF,Trail Signs and Markers - Bonanza and Lone Mountain Trails,,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/28/2016,,
15.49880-TF,Trail Signs and Markers - Bonanza and Lone Mountain Trails,,BID FILES,,04/28/2016,,
15.52607-TF,Pedestrian Safety Upgrades Package 1A,MC4 LLC,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/28/2016,,
160062-JH,Environmental Legal Services,Briscoe Ivestor and Bazel LLP,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/28/2016,,06/30/2022
160156-JH,SLA for Veeder Root Inform Software,Veeder Root,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/28/2016,,04/28/2020
160201-CB,Administration of Business Licensee Surveys,Hewitt Associates LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/28/2016,,11/30/2017
160205-DG,Google Cloud Platform,Google Cloud Platform,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/28/2016,,04/21/2020
160159-CB,Residential Fire Sprinkler Cost Benefit Analysis,"Board of Regents of the Nevada System on Higher Education on Behalf of the University of Nevada, Las Vegas",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/03/2016,,03/29/2017
16.52608-TF,Pedestrain Safety Upgrades Pkg 2A-Curb Extensions,Drew Asphalt Paving Inc,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/05/2016,,
160123-CB,"Bluebeam Software Licenses, Training and Consulting Services","BlueBeam Software, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/05/2016,,05/04/2022
160137-TF,Hundtridge Neighborhood Nomination Report,North Wind Resource Group,BID FILES,,05/05/2016,,
160137-TF,Hundtridge Neighborhood Nomination Report,North Wind Resource Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/05/2016,,
160204-DG,Prezi Presentation Software,Prezi,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/05/2016,,05/05/2020
160189-CB,Consulting Services for Implementation of the Downtown Las Vegas Business Improvement District,Progressive Urban Management Associates,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/12/2016,,06/30/2017
160169-CB,Professional Assessment Centers for Las Vegas Fire and Rescue,"Industrial/Organizational Solutions, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/18/2016,,12/31/2016
160212-DG,Inetlab Software,Inetlab Software,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/18/2016,,05/18/2020
160213-JL,KCLV Support Consulting Services,"1303 Systems, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/19/2016,,
160048-TF,Sewer Lateral Warranty Services,"Utility Service Partners Private Label, Inc",BID FILES,,05/23/2016,,05/30/2021
160048-TF,Sewer Lateral Warranty Services,"Utility Service Partners Private Label, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/23/2016,,05/30/2021
15.53541.07-DC,WPCF Thickened Waste Activated Sludge (TWAS) Rehabilitation,Whiting-Turner Contracting Company,BID FILES,,05/25/2016,,05/25/2017
15.53541.07-DC,WPCF Thickened Waste Activated Sludge (TWAS) Rehabilitation,Whiting-Turner Contracting Company,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/25/2016,,05/25/2017
160203-CB,Professional Consulting Services for Downtown Stadium,"Inner Circle Sports, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/25/2016,,12/31/2016
160224-DG,Web Filter Subscription & Appliance,Trustwave,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/26/2016,,05/25/2020
160219-JL,URL Link Shortening and Analytics Software,"Bitly, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/31/2016,,05/31/2020
160162-DD,Mutual Use Contract for Pool Chemicals,Thatcher Company of Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/06/2016,,12/31/2019
160206-DC,PDSC for Gowan Box Canyon-Lone Mountain,"Stanley Consultants, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/06/2016,,06/06/2021
160227-FL,SnapComms Software,SnapComms,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/09/2016,,06/09/2018
160018-JH,BSC for Symphony Park Environmental Services,Converse Consultants,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/13/2016,,06/30/2021
160186-TF,PDSA for WPCF 2 MW Solar Expansion,Black & Veatch,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/13/2016,,04/01/2018
160210-JH,ASCE Peer Review,American Society of Civil Engineers,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/13/2016,,
160060-SK,Terex Hi-Ranger TL-45,"Terex Utilities, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/14/2016,,
160208-DC,PDSC for 3rd Street Multi-Modal Improvements Charleston to Bonneville,VTN Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/16/2016,,06/16/2021
160214-JH,"BSC for On-Call ICE, B&C, CPM Scheduling and Change Order Review","CM Works, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/16/2016,,06/30/2019
160223-TF,PSA for Sidewalk Infill Area 2C Maryland Bruce,Parsons Brinkerhoff Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/16/2016,,06/30/2018
160220-CB,CODESP Testing Materials,CODESP Public HR,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/21/2016,,06/30/2020
160232-GL,Speaker Engagement Agreement 2016 Leadership Retreat – Josef Levy/ Embassy Consulting,Embassy Consulting - Josef Levy,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/21/2016,,09/30/2016
160234-GL,Speaker Engagement Agreement 2016 Leadership Retreat – Paul Butler,Paul Butler,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/21/2016,,09/30/2016
2016 Leadership Master File,Speaker Engagement Agreements for 2016 Leadership Retreat,Various,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/21/2016,,
160184-RF,"RFQ for Used Oil, Antifreeze, Oil Filters and Oil Absorbent Materials Pick Up & Recycling",Thermo Fluids,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/22/2016,,06/24/2021
160198-SK,MUC for WSCA Lab Supplies for VWR,VWR International L.L.C.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/22/2016,,04/01/2021
160239-MC,Wand Taxonomy Portal Subscription,"WAND, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/22/2016,,06/21/2020
160074-TF,RSOQ Aerial Data & Reconnaissance Program,Avisight,BID FILES,,06/23/2016,,06/30/2020
160074-TF,RSOQ Aerial Data & Reconnaissance Program,Avisight,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/23/2016,,06/30/2020
160173-RF,MUC for Janitorial Supplies,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/23/2016,,12/04/2018
160216-DD,Treasured Lands Exhibit Contract,Terra Galleria Photography,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/23/2016,,
160233-PH,CallFire License Agreement,CallFire Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/23/2016,,06/22/2020
160122-TF,Upper Las Vegas Wash Conceptual Plan Document,Design Workshop Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/29/2016,,12/31/2016
2016 Book Festival Master File,2016 Book Festival Speakers,Eloisa James / Clintion Romesha,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/29/2016,,
160225-JH,PDSC for Gowan North - El Capitan Branch,GCW,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/30/2016,,12/30/2018
160246-DG,Skillsoft Online Training Program,Skillsoft,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/30/2016,,
160249-DG,Globalscape License Agreement,Globalscape,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/30/2016,,06/30/2019
160256-PH,DarkTrace License Agreement,DarkTrace,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/30/2016,,08/01/2020
160255-TF,3rd Street Public Private Management Model,JA Barrett Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/11/2016,,
160240-DG,Biddle Consulting Group,"Biddle Consulting Group, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/13/2016,,07/11/2019
160094-JL,Offsite Payment Collections Service for LVMC,"”), Interactive Communications International, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/14/2016,,02/28/2019
160182-SK-A,Industrial Supplies-Industrial Hardware Lot 1,Purvis Industriesa Texas limited Partnership,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/19/2016,,07/19/2021
160164-RF,Intralocal Agreement for Vending Machine Concession,"Department of Emplyment, Training and Rehabilitation, Rehabilitation Division Business Enterprises of Nevada",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/20/2016,,01/31/2026
160197-SK,MUC for WSCA Lab Supplies Fisher Scientific,Fisher Scientific Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2016,,04/01/2021
160241-DG,Extensis Suitcase Fusion Licenses,Extensis,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2016,,07/21/2022
160244-DC,BSC for Structural Consulting Services,Wright Engineers,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2016,,07/28/2026
170003-DD,MUC for Air Resource Unit,Extensis,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2016,,07/16/2017
16.59807-TF,CMAR for Doolittle Community Center Roof and HVAC Replacement,Whiting-Turner Contracting Company,BID FILES,,07/28/2016,,
16.59807-TF,CMAR for Doolittle Community Center Roof and HVAC Replacement,Whiting-Turner Contracting Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/28/2016,,
160245-DG,Mettler Toledo Service Agreement,Mettler Toledo,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/28/2016,,08/31/2020
160248-DD,HPN Letter of Agreement,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/28/2016,,
170012-GL,Club EZ Rider Transit Passes FY2017,Regional Transportation Commission of Southern Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/28/2016,,
160253-JL,Public Attorney Municipal Court Department 5,"Law Offices Of Paul J. Adras, Esq., Pc D/B/A Adras & Altig Attorneys At Law",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/01/2016,,
170004-CB,PSC for Executive Recruitment Services for Cultural Affairs Director,Cooperative Personnel Services dba CPS HR Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/02/2016,,11/30/2016
15.47514-DC,Cliff Shadows Parkway Phase II,Las Vegas Paving Corporation,BID FILES,,08/03/2016,,
15.47514-DC,Cliff Shadows Parkway Phase II,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/03/2016,,
160243-CB,Property Valuation Services,"Assetworks, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/04/2016,,07/31/2025
160251-CB,PDSC for WPCF SCADA Room Remodel,Brown and Caldwell,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/08/2016,,03/31/2018
16.69369-TF,Doolittle Community Center Perimeter Fence Improvements,Tiberti Fence Company,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/10/2016,,
16.69369-TF,Doolittle Community Center Perimeter Fence Improvements,Tiberti Fence Company,BID FILES,,08/10/2016,,
160139-JL,Public Attorney Municipal Court Department 20,"Law Offices Of Paul J. Adras, Esq., Pc D/B/A Adras & Altig Attorneys At Law,",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/16/2016,,06/30/2017
160182-SK-B,Industrial Supplies-Plumbing Supplies Lot 2,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/16/2016,,07/31/2021
170017-DD,PNC Bank Nondisclosure Agreement,PNC Bank,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/16/2016,,08/01/2020
170021-PH,MUC for Environmental Reviews,"BEC Environmental, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/16/2016,,08/31/2020
170024-JL,eDiscovery Point LT Proflex Subscription,Thomson Reuters eDiscovery Point Long Term,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/16/2016,,08/31/2019
160103-FL,RFP for Enterprise Data Quality Solution,"Trillium Software, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/18/2016,,08/16/2020
160103-FL,RFP for Enterprise Data Quality Solution,"Trillium Software, Inc.",BID FILES,,08/18/2016,,08/16/2020
170025-JL,Case Analysis Premier Hosted and Concourse Legal Hold,Thomson Reuters eDiscovery Point Long Term,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/18/2016,,08/31/2019
160055-JH,RFP for Capital Improvement Program Software and Implementation Solution,Aurigo Software Technologies Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/22/2016,,
160055-JH,RFP for Capital Improvement Program Software and Implementation Solution,Aurigo Software Technologies Inc.,BID FILES,,08/22/2016,,
170020-PH,Microsoft Azure Server and Cloud Enrollment,SHI International,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/23/2016,,08/16/2022
160195-TF,Reed Whipple Nomination Report,North Wind,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/25/2016,,12/01/2016
170029-SK,Executive Recruitment for Chief Financial Officer,Cooperative Personnel Services dba CPS HR Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/29/2016,,12/31/2016
16.69111.01-JH,Development Services Center Elevator Modernization,ThyssenKrupp Elevator Corporation,BID FILES,,08/30/2016,,11/30/2017
16.69111.01-JH,Development Services Center Elevator Modernization,ThyssenKrupp Elevator Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/30/2016,,11/30/2017
170040-GL,Shredding Event Agreement,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/30/2016,,06/30/2017
170007-TF,"PSA for Centennial Parkway Channel West, Us 95 (Durango to Grand Teton)","The Louis Berger Group, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/31/2016,,08/01/2018
160165-CB,RFP for Parking Mobile Payment Services,"PayByPhone Technologies, Inc.",BID FILES,,09/01/2016,12/22/2016,
160165-CB,RFP for Parking Mobile Payment Services,"PayByPhone Technologies, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/01/2016,12/22/2016,
160242-JL,Citywide Data Portal and Professional Services,"My Researcher.com, LLC.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/01/2016,,08/31/2020
170009-JL,Seussical Musical Royalties,MTI Production,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/01/2016,,12/31/2016
170015-JL,2016 Employee Engagement Survey,Hewitt Associates LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/06/2016,,11/30/2016
170028-DG,Morphotrust USA License Agreement,"Morphotrust USA, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/06/2016,,08/23/2020
170016-TF,BSA for Traffic Design & Planning,"CH2M Hill Engineers, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/12/2016,,09/30/2021
170018-DG,VinLink Decoding System,VinLink,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/12/2016,,09/12/2020
170013-DD,Salvation Army Kids Camp,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/14/2016,,04/15/2017
170014-DD,Salvation Army Adult Camp,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/14/2016,,04/15/2017
170032-MC,Top Facilitation Methods Course,Partners In Participation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/14/2016,,
15.56541.-TF,Sky Pointe Drive Pavement Infill,Las Vegas Paving Corp,BID FILES,,09/15/2016,,
160199-RF,Water Truck,McCandless International Trucks,BID FILES,,09/19/2016,,03/28/2017
160199-RF,Water Truck,McCandless International Trucks,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/19/2016,,03/28/2017
170039-TF,PDSC for Fire Station 103 Remodel,Gary Guy Wilson AIA PC Architects,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/19/2016,,12/01/2016
16.59368-TF,DSC 7th Floor Tenant Improvements,Forsythe Enterprises DBA FEI Construction,BID FILES,,09/21/2016,,12/20/2016
16.59368-TF,DSC 7th Floor Tenant Improvements,Forsythe Enterprises DBA FEI Construction,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,09/21/2016,,12/20/2016
170022-JH,PDSC for I-15 Frontage Roads,"Louis Berger, US, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/21/2016,,09/21/2020
170041-TF,BSC for Traffic Engineering Design and Planning Services,"Atkins North America, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/22/2016,,09/01/2021
14.15341.02-JH-B,CMAR for Variety Early Learning Center Renovation at Lorenzi Park,CORE Construction Services of Nevada,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,09/26/2016,,
170031-TF,PDSC for Walkable Community Improvements Wards 3 and 5,"Stanley Consultants, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/26/2016,,08/01/2017
170036-DC,CMAA for Summerlin Parkway Traffic Capacity and Safety Improvements,"CM Works, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/27/2016,,09/27/2021
15.60316-DC,Alta Daycare Upgrades,"CG&B Enterprises, Inc.",BID FILES,,09/29/2016,,
15.60316-DC,Alta Daycare Upgrades,"CG&B Enterprises, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,09/29/2016,,
160017-JH,S & E Services for Bonneville Pumping Station Condition Assessment,"Carollo Engineers, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/29/2016,,12/31/2017
170030-JL,Microsoft Enterprise Agreement and Volume Licensing,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/05/2016,,10/31/2019
160180-TG,Landscape Maintenance and Tree Care Services,US Landscape and Brightview Landscape Services,BID FILES,,10/06/2016,,10/06/2020
160180-TG-A,Landscape Maintenance and Tree Care Services,Brightview Landscape Services,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/06/2016,,10/06/2020
15.56541-TF,Sky Pointe Drive Pavement Infill,Las Vegas Paving Corp,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/11/2016,,
170010-JH,PDSC for MLK Extenstion Alternatives Analysis Study,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/11/2016,,12/31/2017
170048-JL,2016 Las Vegas Community Survey,Etc Institute,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/11/2016,,01/31/2017
170053-SK,Fingerprint Based Criminal Background Check,Fingerprinting Pros Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/13/2016,,10/01/2021
140127-JH,PSA for Various Right Turn Lane Improvements,"Slater Hanifan Group, Inc.",BID FILES,,10/17/2016,,12/31/2019
140127-JH,PSA for Various Right Turn Lane Improvements,"Slater Hanifan Group, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/17/2016,,12/31/2019
140127-JH,PSA for Various Right Turn Lane Improvements,"Slater Hanifan Group, Inc.",BID FILES,,10/17/2016,,12/31/2019
170044-TF,PDSC for Bob Baskin Park Renovation,Stantec Consulting Services Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/18/2016,,10/01/2018
160163-CB,RFP for Temporary Staffing Services,Various Suppliers,BID FILES,,10/19/2016,,09/30/2021
160163-CB,RFP for Temporary Staffing Services,Various Suppliers,BID FILES,,10/19/2016,,09/30/2021
160163-CB-B,RFP for Temporary Staffing Services,MARATHON STAFFING GROUP,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/19/2016,,09/30/2021
160163-CB-C,RFP for Temporary Staffing Services,CENTURY TECHNOLOGIES,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/19/2016,,09/30/2021
160163-CB-E,RFP for Temporary Staffing Services,AMTEC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/19/2016,,09/30/2021
160163-CB-F,RFP for Temporary Staffing Services,LINK TECH LLC DBA LINK TECHNOLOGIES,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/19/2016,,09/30/2021
160163-CB-G,RFP for Temporary Staffing Services,"Robert Half Nevada, Inc. dba Officeteam",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/19/2016,,09/30/2021
160163-CB-H,RFP for Temporary Staffing Services,"Robert Half Nevada, Inc. dba Officeteam",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/19/2016,,09/30/2021
170066-DG,Soundcloud,SoundCloud,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/24/2016,,05/16/2020
170045-TF,"PDSC for Traffic Signal Improvements - Lake Mead, Comstock, Stella Lake & Hualapai - Crestdale","Slater Hanifan Group, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/25/2016,,11/01/2018
16.61090-TF,Summerlin Pkwy Traffic Capacity & Safety Improvements Ph. 2,Las Vegas Paving Corp,BID FILES,,10/26/2016,,04/30/2017
16.61090-TF,Summerlin Pkwy Traffic Capacity & Safety Improvements Ph. 2,Las Vegas Paving Corp,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/26/2016,,04/30/2017
170073-RF,John Deere OEM Parts & Service,"Bragg Investment Company, Inc. dba Coastline Equipment Company",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/26/2016,,01/01/2050
160180-TG-B,Landscape Maintenance and Tree Care Services,US Landscape,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/01/2016,10/30/2017,
160163-CB-A,RFP for Temporary Staffing Services,Manpower Inc. of Southern Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/02/2016,,09/30/2021
170046-PH,enCode Plus Software License,EnCode Plus,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/02/2016,,11/02/2020
140201-RH-H,Electronic Development Department Integration Master Services Agreement – Arisant,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/09/2016,,11/08/2021
170077-JH,PSA CLV Medical District Park Scenario Development,Kimley Horn,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/17/2016,,11/30/2017
170081-PH,GovDelivery Subscription,GovDelivery,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/21/2016,,11/21/2020
170050-DG,Keywatcher Management System,"Genesis Resource, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/29/2016,,10/25/2021
170071-TF,"Sidewalk & Lighting Casino Ctr, Imperial & Utah",Parsons Brinkerhoff Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/29/2016,,11/01/2018
170080-PH,Innovate.vegas Website,Adlava LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/29/2016,,
2017 Values Master File,Speaker Engagement Agreements for 2017 Values Conference,Various,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/29/2016,,
160235-JL,Finance Lien Automation Project (FLAP),Harris Local Government Solutions,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/30/2016,,11/30/2020
170084-JH,City Council Planning Commission Engagement Agreement,Lisa Wise Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/30/2016,,
170057-SK,Limited Phase II Environmental Site Assessment - Jiffy Smog Rebel #16,ATC Group Services LLC.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/01/2016,,08/30/2017
15.54979-TF,Dexter Park Renovation,Apco Construction,BID FILES,,12/07/2016,,09/01/2017
15.54979-TF,Dexter Park Renovation,Apco Construction,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/07/2016,,09/01/2017
16.19201.01 -JH,All American Park Walking Track Removal and Replacement,"CG&B Enterprises, Inc",BID FILES,,12/08/2016,,
16.19201.01 -JH,All American Park Walking Track Removal and Replacement,"CG&B Enterprises, Inc",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/08/2016,,
170038-RF,Conifer Bark for Biofilter,Pacific Fibre Products Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/08/2016,,12/15/2020
170038-RF,Conifer Bark for Biofilter,Pacific Fibre Products Inc.,BID FILES,,12/08/2016,,12/15/2020
170047-PH,Infoblox DDI Appliances and Support,Custom Storage Inc dba cStor,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/08/2016,,12/09/2020
160117-GL,Engagement Agreement 2016 Values Conference - Swanson,Kelly Swanson,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/17/2016,,
